index,budget,genres,homepage,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,cast,director,userId
33,210000000,Adventure Action Science Fiction Thriller,,36668,mutant marvel comic based on comic book superhuman beast,en,X-Men: The Last Stand,3.857526,24-05-2006,459359555,104,Released,Take a Stand,X-Men: The Last Stand,6.3,3525,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner,50
34,200000000,Animation Family,,62211,monster dormitory games animation best friend,en,Monsters University,89.186492,20-06-2013,743559607,104,Released,School never looked this scary.,Monsters University,7,3528,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon,
35,150000000,Science Fiction Action Adventure,http://www.transformersmovie.com/,8373,egypt sun chaos symbol artifact,en,Transformers: Revenge of the Fallen,21.939663,19-06-2009,836297228,150,Released,Revenge is coming.,Transformers: Revenge of the Fallen,6,3138,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay,8
36,,Science Fiction Action Adventure,http://www.transformersmovie.com,91314,sequel alien transformers giant robot robot,en,Transformers: Age of Extinction,116.840296,25-06-2014,1091405097,165,Released,This is not war. It's extinction.,Transformers: Age of Extinction,5.8,3095,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay,43
37,200000000,Fantasy Adventure Family,http://www.ozthegreatandpowerfulmovie.com,68728,circus witch magic hope illusion,en,Oz: The Great and Powerful,46.985445,07-03-2013,491868548,130,Released,"In Oz, nothing is what it seems",Oz: The Great and Powerful,5.7,3530,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi,27
38,200000000,Action Adventure Fantasy,http://www.theamazingspiderman.com,102382,obsession marvel comic sequel based on comic book electrocution,en,The Amazing Spider-Man 2,89.270217,16-04-2014,705717432,142,Released,No more secrets.,The Amazing Spider-Man 2,6.5,4179,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb,23
39,170000000,Adventure Action Science Fiction,http://disney.go.com/tron/,20526,artificial intelligence secret identity computer program dystopia computer,en,TRON: Legacy,73.79505,10-12-2010,400062763,125,Released,The Game Has Changed.,TRON: Legacy,6.3,2841,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski,1
40,200000000,Animation Family Adventure Comedy,http://www.disney.go.com/cars/,49013,car race sequel comedy anthropomorphism best friend,en,Cars 2,49.98659,11-06-2011,559852396,106,Released,Ka-ciao!,Cars 2,5.8,2033,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter,35
41,200000000,Adventure Action Thriller Science Fiction,http://greenlanternmovie.warnerbros.com/,44912,dc comics transformation superhero alien alien infection,en,Green Lantern,51.872839,16-06-2011,219851172,114,Released,"In our darkest hour, there will be light.",Green Lantern,5.1,2487,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell,13
42,200000000,Animation Family Comedy,http://disney.go.com/toystory/,10193,hostage college toy barbie animation,en,Toy Story 3,59.995418,16-06-2010,1066969703,103,Released,No toy gets left behind.,Toy Story 3,7.6,4597,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich,8
